section,vendor_slug,vendor_name,domain,canonical_url,plan,monthly_usd,minutes_included,calls_included,overage_per_min,overage_per_call,annual_discount_pct,setup_fee_usd,billing_model,hipaa,baa,bilingual,integrations,quote_only,source_url,accessed_at,corroboration_url,corroboration_accessed_at
call-tracking,calltrackingmetrics,CallTrackingMetrics,ctm.com,https://frontdeskreview.com/call-tracking/vendors/calltrackingmetrics/,Sales Engage,329,,,0.12,,18,,hybrid,yes,unknown,unknown,Salesforce; HubSpot; Google Ads; Zoom; Facebook; Gong; Calendly; Yext,no,https://www.ctm.com/plans/,2026-06-11,https://www.itqlick.com/calltrackingmetrics/pricing,2026-06-11
call-tracking,calltrackingmetrics,CallTrackingMetrics,ctm.com,https://frontdeskreview.com/call-tracking/vendors/calltrackingmetrics/,Enterprise,1999,,,,,,,custom,yes,unknown,unknown,Salesforce; HubSpot; Google Ads; Zoom; Facebook; Gong; Calendly; Yext,no,https://www.ctm.com/plans/,2026-06-11,https://www.itqlick.com/calltrackingmetrics/pricing,2026-06-11
call-tracking,ringba,Ringba,ringba.com,https://frontdeskreview.com/call-tracking/vendors/ringba/,Business,147,,,0.055,,13,,hybrid,unknown,unknown,unknown,Google Ads; Facebook Ads; Jornaya; TrustedForm; Zapier; Make,no,https://www.ringba.com/pricing/,2026-06-11,https://www.g2.com/products/ringba/pricing,2026-06-11
call-tracking,ringba,Ringba,ringba.com,https://frontdeskreview.com/call-tracking/vendors/ringba/,Professional,297,,,0.05,,33,,hybrid,unknown,unknown,unknown,Google Ads; Facebook Ads; Jornaya; TrustedForm; Zapier; Make,no,https://www.ringba.com/pricing/,2026-06-11,https://www.g2.com/products/ringba/pricing,2026-06-11
call-tracking,nimbata,Nimbata,nimbata.com,https://frontdeskreview.com/call-tracking/vendors/nimbata/,Pro,35,,,,,20,,per_call,unknown,unknown,unknown,Google Ads; GA4; Facebook; Microsoft Ads; HubSpot; Zoho CRM; Pipedrive; Salesforce; Slack; Zapier,no,https://www.nimbata.com/pricing,2026-06-11,,
call-tracking,nimbata,Nimbata,nimbata.com,https://frontdeskreview.com/call-tracking/vendors/nimbata/,Marketing,80,,,,,20,,per_call,unknown,unknown,unknown,Google Ads; GA4; Facebook; Microsoft Ads; HubSpot; Zoho CRM; Pipedrive; Salesforce; Slack; Zapier,no,https://www.nimbata.com/pricing,2026-06-11,,
call-tracking,nimbata,Nimbata,nimbata.com,https://frontdeskreview.com/call-tracking/vendors/nimbata/,Agency,120,,,,,20,,per_call,unknown,unknown,unknown,Google Ads; GA4; Facebook; Microsoft Ads; HubSpot; Zoho CRM; Pipedrive; Salesforce; Slack; Zapier,no,https://www.nimbata.com/pricing,2026-06-11,,
call-tracking,infinity,Infinity,infinity.co,https://frontdeskreview.com/call-tracking/vendors/infinity/,Essentials,249,,,,0.2,,,per_call,unknown,unknown,unknown,Google Analytics; Google Ads; Microsoft Ads; Meta Ads; Infinity Integrations Hub,no,https://www.infinity.co/us/pricing,2026-06-11,https://www.g2.com/products/infinity-call-tracking/pricing,2026-06-11
call-tracking,infinity,Infinity,infinity.co,https://frontdeskreview.com/call-tracking/vendors/infinity/,Pro,349,,,,0.15,,,per_call,unknown,unknown,unknown,Google Analytics; Google Ads; Microsoft Ads; Meta Ads; Infinity Integrations Hub,no,https://www.infinity.co/us/pricing,2026-06-11,https://www.g2.com/products/infinity-call-tracking/pricing,2026-06-11
call-tracking,convirza,Convirza,convirza.com,https://frontdeskreview.com/call-tracking/vendors/convirza/,Starter,29,,,0.08,,,,hybrid,unknown,unknown,unknown,Google Ads; Google Analytics; HubSpot; Salesforce; Zapier,no,https://www.convirza.com/pricingpage/convirza-call-tracking-pricing/,2026-06-11,,
call-tracking,convirza,Convirza,convirza.com,https://frontdeskreview.com/call-tracking/vendors/convirza/,Agency,149,,,0.05,,,,hybrid,unknown,unknown,unknown,Google Ads; Google Analytics; HubSpot; Salesforce; Zapier,no,https://www.convirza.com/pricingpage/convirza-call-tracking-pricing/,2026-06-11,,
call-tracking,wildjar,WildJar,wildjar.com,https://frontdeskreview.com/call-tracking/vendors/wildjar/,Starter,39,,,0.05,,,,hybrid,unknown,unknown,unknown,Google Analytics; Google Ads; Facebook; Microsoft Ads; HubSpot; Salesforce; WordPress; Zapier,no,https://www.wildjar.com/pricing-united-states,2026-06-11,https://www.g2.com/products/wildjar/pricing,2026-06-11
call-tracking,wildjar,WildJar,wildjar.com,https://frontdeskreview.com/call-tracking/vendors/wildjar/,Agency,89,,,0.04,,,,hybrid,unknown,unknown,unknown,Google Analytics; Google Ads; Facebook; Microsoft Ads; HubSpot; Salesforce; WordPress; Zapier,no,https://www.wildjar.com/pricing-united-states,2026-06-11,https://www.g2.com/products/wildjar/pricing,2026-06-11
call-tracking,wildjar,WildJar,wildjar.com,https://frontdeskreview.com/call-tracking/vendors/wildjar/,Mammoth,159,,,,,,,hybrid,unknown,unknown,unknown,Google Analytics; Google Ads; Facebook; Microsoft Ads; HubSpot; Salesforce; WordPress; Zapier,no,https://www.wildjar.com/pricing-united-states,2026-06-11,,
call-tracking,dialics,Dialics,dialics.com,https://frontdeskreview.com/call-tracking/vendors/dialics/,Pay As You Go,0,,,0.045,,,,per_minute,unknown,unknown,unknown,Google Ads; Zapier; API,no,https://dialics.com/call-tracking-pricing/,2026-06-11,,
call-tracking,mediahawk,Mediahawk,mediahawk.co.uk,https://frontdeskreview.com/call-tracking/vendors/mediahawk/,Per-user (entry),50,,,,,20,,hybrid,unknown,unknown,unknown,Google Analytics; Google Ads; Microsoft Ads; Meta; HubSpot; Salesforce,no,https://www.mediahawk.co.uk/pricing/,2026-06-11,,
call-tracking,invoca,Invoca,invoca.com,https://frontdeskreview.com/call-tracking/vendors/invoca/,,,,,,,,,,yes,yes,unknown,Google Ads; GA4; Meta Ads; Microsoft Ads; HubSpot; Salesforce; Adobe Experience Cloud; The Trade Desk; TikTok,yes,,,,
call-tracking,marchex,Marchex,marchex.com,https://frontdeskreview.com/call-tracking/vendors/marchex/,,,,,,,,,,unknown,unknown,unknown,Google Ads; Salesforce; Conversation Intelligence API,yes,,,,
call-tracking,phonexa,Phonexa,phonexa.com,https://frontdeskreview.com/call-tracking/vendors/phonexa/,,,,,,,,,,unknown,unknown,unknown,Salesforce; HubSpot; Google Ads; Google Analytics; Five9; Dialpad; Stripe; Everflow,yes,,,,
call-tracking,callsource,CallSource,callsource.com,https://frontdeskreview.com/call-tracking/vendors/callsource/,,,,,,,,,,unknown,unknown,unknown,Google Ads; CRM,yes,,,,
call-tracking,retreaver,Retreaver,retreaver.com,https://frontdeskreview.com/call-tracking/vendors/retreaver/,,,,,,,,,,unknown,unknown,unknown,Zapier; HubSpot; Salesforce; Webhooks,yes,,,,
call-tracking,trackdrive,TrackDrive,trackdrive.com,https://frontdeskreview.com/call-tracking/vendors/trackdrive/,,,,,,,,,,unknown,unknown,unknown,Zapier; Webhooks; API,yes,,,,
