theme,kind,vendor_slug,vendor_name,domain,plan_name,monthly_usd,annual_discount_pct,billing_model,setup_fee_usd,minutes_included,calls_included,overage_per_min,overage_per_call,hipaa,baa,soc2,gdpr,free_tier,free_trial_days,key_features,best_for,integrations,source_url,accessed_at,corroboration_url
ab-testing,catalog,statsig,Statsig,statsig.com,Pro,150,,flat,,,,,,true,true,,,,,,,Vercel; Amplitude; Bugsnag; Census; Datadog; Discord; Fastly; Fivetran; GitHub; Google Analytics; Heap; Jira; Microsoft Teams; Mixpanel; mParticle; Pulumi; RevenueCat; RudderStack; Segment; Slack; Visual Studio Code; Webhooks; Snowflake; Databricks; BigQuery; Redshift; Athena,https://www.statsig.com/pricing,2026-06-14,https://slashdot.org/software/p/Statsig/
ab-testing,catalog,statsig,Statsig,statsig.com,Enterprise,,,custom,,,,,,true,true,,,,,,,Vercel; Amplitude; Bugsnag; Census; Datadog; Discord; Fastly; Fivetran; GitHub; Google Analytics; Heap; Jira; Microsoft Teams; Mixpanel; mParticle; Pulumi; RevenueCat; RudderStack; Segment; Slack; Visual Studio Code; Webhooks; Snowflake; Databricks; BigQuery; Redshift; Athena,https://www.statsig.com/pricing,2026-06-14,
ab-testing,catalog,launchdarkly,LaunchDarkly,launchdarkly.com,Developer,0,,flat,,,,,,true,,,,,,,,GitHub Actions; GitLab; CircleCI; Jenkins; Azure DevOps; Bitrise; Okta; OneLogin; Microsoft Entra ID; Google Apps; Datadog; New Relic; Dynatrace; Splunk; Honeycomb.io; Grafana; AppDynamics; Elastic; Amplitude; Segment; mParticle; RudderStack; Tealium; Census; Hightouch; Snowflake; BigQuery; Databricks; Redshift; Slack; Microsoft Teams; Jira; Trello; ServiceNow; Zendesk; Sentry; Vercel; Cloudflare; Terraform; Zapier,https://launchdarkly.com/pricing/,2026-06-14,
ab-testing,catalog,launchdarkly,LaunchDarkly,launchdarkly.com,Foundation,,,custom,,,,,,true,,,,,,,,GitHub Actions; GitLab; CircleCI; Jenkins; Azure DevOps; Bitrise; Okta; OneLogin; Microsoft Entra ID; Google Apps; Datadog; New Relic; Dynatrace; Splunk; Honeycomb.io; Grafana; AppDynamics; Elastic; Amplitude; Segment; mParticle; RudderStack; Tealium; Census; Hightouch; Snowflake; BigQuery; Databricks; Redshift; Slack; Microsoft Teams; Jira; Trello; ServiceNow; Zendesk; Sentry; Vercel; Cloudflare; Terraform; Zapier,https://launchdarkly.com/pricing/,2026-06-14,
ab-testing,catalog,launchdarkly,LaunchDarkly,launchdarkly.com,Enterprise,,,custom,,,,,,true,,,,,,,,GitHub Actions; GitLab; CircleCI; Jenkins; Azure DevOps; Bitrise; Okta; OneLogin; Microsoft Entra ID; Google Apps; Datadog; New Relic; Dynatrace; Splunk; Honeycomb.io; Grafana; AppDynamics; Elastic; Amplitude; Segment; mParticle; RudderStack; Tealium; Census; Hightouch; Snowflake; BigQuery; Databricks; Redshift; Slack; Microsoft Teams; Jira; Trello; ServiceNow; Zendesk; Sentry; Vercel; Cloudflare; Terraform; Zapier,https://launchdarkly.com/pricing/,2026-06-14,
ab-testing,catalog,launchdarkly,LaunchDarkly,launchdarkly.com,Guardian,,,custom,,,,,,true,,,,,,,,GitHub Actions; GitLab; CircleCI; Jenkins; Azure DevOps; Bitrise; Okta; OneLogin; Microsoft Entra ID; Google Apps; Datadog; New Relic; Dynatrace; Splunk; Honeycomb.io; Grafana; AppDynamics; Elastic; Amplitude; Segment; mParticle; RudderStack; Tealium; Census; Hightouch; Snowflake; BigQuery; Databricks; Redshift; Slack; Microsoft Teams; Jira; Trello; ServiceNow; Zendesk; Sentry; Vercel; Cloudflare; Terraform; Zapier,https://launchdarkly.com/pricing/,2026-06-14,
accounting-software,catalog,quickbooks-online,QuickBooks Online,quickbooks.intuit.com,Solopreneur Lite,20,,flat,,,,,,,,,,,,,,QuickBooks Payments; QuickBooks Payroll; Bill.com; Shopify; PayPal; Square; Gmail,https://quickbooks.intuit.com/pricing/,2026-06-13,https://www.nerdwallet.com/business/software/learn/quickbooks-pricing
accounting-software,catalog,quickbooks-online,QuickBooks Online,quickbooks.intuit.com,Simple Start,38,,flat,,,,,,,,,,,,,,QuickBooks Payments; QuickBooks Payroll; Bill.com; Shopify; PayPal; Square; Gmail,https://quickbooks.intuit.com/pricing/,2026-06-13,https://www.nerdwallet.com/business/software/learn/quickbooks-pricing
accounting-software,catalog,quickbooks-online,QuickBooks Online,quickbooks.intuit.com,Essentials,75,,flat,,,,,,,,,,,,,,QuickBooks Payments; QuickBooks Payroll; Bill.com; Shopify; PayPal; Square; Gmail,https://quickbooks.intuit.com/pricing/,2026-06-13,https://www.nerdwallet.com/business/software/learn/quickbooks-pricing
accounting-software,catalog,quickbooks-online,QuickBooks Online,quickbooks.intuit.com,Plus,115,,flat,,,,,,,,,,,,,,QuickBooks Payments; QuickBooks Payroll; Bill.com; Shopify; PayPal; Square; Gmail,https://quickbooks.intuit.com/pricing/,2026-06-13,https://www.nerdwallet.com/business/software/learn/quickbooks-pricing
accounting-software,catalog,quickbooks-online,QuickBooks Online,quickbooks.intuit.com,Advanced,275,,flat,,,,,,,,,,,,,,QuickBooks Payments; QuickBooks Payroll; Bill.com; Shopify; PayPal; Square; Gmail,https://quickbooks.intuit.com/pricing/,2026-06-13,https://www.nerdwallet.com/business/software/learn/quickbooks-pricing
accounting-software,catalog,xero,Xero,xero.com,Early,25,,flat,,,,,,,,,,,,,,Stripe; Gusto; HubSpot; Shopify; PayPal; Square; Bill.com,https://www.xero.com/us/pricing-plans/,2026-06-13,https://costbench.com/software/accounting/xero/
accounting-software,catalog,xero,Xero,xero.com,Growing,55,,flat,,,,,,,,,,,,,,Stripe; Gusto; HubSpot; Shopify; PayPal; Square; Bill.com,https://www.xero.com/us/pricing-plans/,2026-06-13,https://costbench.com/software/accounting/xero/
accounting-software,catalog,xero,Xero,xero.com,Established,90,,flat,,,,,,,,,,,,,,Stripe; Gusto; HubSpot; Shopify; PayPal; Square; Bill.com,https://www.xero.com/us/pricing-plans/,2026-06-13,https://costbench.com/software/accounting/xero/
accounting-software,catalog,freshbooks,FreshBooks,freshbooks.com,Lite,23,,flat,,,,,,,,,,,,,,Stripe; PayPal; Gusto; Shopify; Squarespace; Gmail; Zapier,https://www.freshbooks.com/pricing,2026-06-13,
accounting-software,catalog,freshbooks,FreshBooks,freshbooks.com,Plus,43,,flat,,,,,,,,,,,,,,Stripe; PayPal; Gusto; Shopify; Squarespace; Gmail; Zapier,https://www.freshbooks.com/pricing,2026-06-13,
accounting-software,catalog,freshbooks,FreshBooks,freshbooks.com,Premium,70,,flat,,,,,,,,,,,,,,Stripe; PayPal; Gusto; Shopify; Squarespace; Gmail; Zapier,https://www.freshbooks.com/pricing,2026-06-13,
accounting-software,catalog,freshbooks,FreshBooks,freshbooks.com,Select,,,flat,,,,,,,,,,,,,,Stripe; PayPal; Gusto; Shopify; Squarespace; Gmail; Zapier,https://www.freshbooks.com/pricing,2026-06-13,
accounting-software,catalog,wave,Wave,waveapps.com,Starter (Free),0,,flat,,,,,,,,,,,,,,Wave Payments; Wave Payroll; Stripe; PayPal; Zapier; Google Sheets,https://www.waveapps.com/pricing,2026-06-13,
accounting-software,catalog,wave,Wave,waveapps.com,Pro,19,,flat,,,,,,,,,,,,,,Wave Payments; Wave Payroll; Stripe; PayPal; Zapier; Google Sheets,https://www.waveapps.com/pricing,2026-06-13,
accounting-software,catalog,wave,Wave,waveapps.com,Wave Advisors,199,,flat,,,,,,,,,,,,,,Wave Payments; Wave Payroll; Stripe; PayPal; Zapier; Google Sheets,https://www.waveapps.com/pricing,2026-06-13,
accounting-software,catalog,zoho-books,Zoho Books,zoho.com,Free,0,,flat,,,,,,,,,,,,,,Zoho CRM; Stripe; PayPal; Razorpay; Square; Slack; Zapier,https://www.zoho.com/us/books/pricing/,2026-06-13,
accounting-software,catalog,zoho-books,Zoho Books,zoho.com,Standard,20,25,flat,,,,,,,,,,,,,,Zoho CRM; Stripe; PayPal; Razorpay; Square; Slack; Zapier,https://www.zoho.com/us/books/pricing/,2026-06-13,
accounting-software,catalog,zoho-books,Zoho Books,zoho.com,Professional,50,20,flat,,,,,,,,,,,,,,Zoho CRM; Stripe; PayPal; Razorpay; Square; Slack; Zapier,https://www.zoho.com/us/books/pricing/,2026-06-13,
accounting-software,catalog,zoho-books,Zoho Books,zoho.com,Premium,70,14,flat,,,,,,,,,,,,,,Zoho CRM; Stripe; PayPal; Razorpay; Square; Slack; Zapier,https://www.zoho.com/us/books/pricing/,2026-06-13,
accounting-software,catalog,zoho-books,Zoho Books,zoho.com,Elite,150,20,flat,,,,,,,,,,,,,,Zoho CRM; Stripe; PayPal; Razorpay; Square; Slack; Zapier,https://www.zoho.com/us/books/pricing/,2026-06-13,
accounting-software,catalog,zoho-books,Zoho Books,zoho.com,Ultimate,275,13,flat,,,,,,,,,,,,,,Zoho CRM; Stripe; PayPal; Razorpay; Square; Slack; Zapier,https://www.zoho.com/us/books/pricing/,2026-06-13,
accounting-software,catalog,patriot-software,Patriot Software Accounting,patriotsoftware.com,Accounting Basic,20,,flat,,,,,,,,,,,,,,Patriot Payroll; Stripe; Plaid; bank import,https://www.patriotsoftware.com/accounting/pricing/,2026-06-13,
accounting-software,catalog,patriot-software,Patriot Software Accounting,patriotsoftware.com,Accounting Premium,30,,flat,,,,,,,,,,,,,,Patriot Payroll; Stripe; Plaid; bank import,https://www.patriotsoftware.com/accounting/pricing/,2026-06-13,
accounting-software,catalog,bench,Bench,bench.co,Bookkeeping Grow,199,20,flat,,,,,,,,,,,,,,bank/credit-card feeds; Stripe; Square; Shopify; PayPal,https://www.bench.co/pricing,2026-06-13,
accounting-software,catalog,bench,Bench,bench.co,Bookkeeping Core,399,20,flat,,,,,,,,,,,,,,bank/credit-card feeds; Stripe; Square; Shopify; PayPal,https://www.bench.co/pricing,2026-06-13,
accounting-software,catalog,bench,Bench,bench.co,Bookkeeping Core + Tax,599,20,flat,,,,,,,,,,,,,,bank/credit-card feeds; Stripe; Square; Shopify; PayPal,https://www.bench.co/pricing,2026-06-13,
accounting-software,catalog,bookkeeper360,Bookkeeper360,bookkeeper360.com,Monthly Bookkeeping,399,,flat,,,,,,,,,,,,,,QuickBooks Online; Xero; Gusto; Bill.com; Stripe; Shopify,https://www.bookkeeper360.com/pricing,2026-06-13,
accounting-software,catalog,bookkeeper360,Bookkeeper360,bookkeeper360.com,Weekly Bookkeeping,599,,flat,,,,,,,,,,,,,,QuickBooks Online; Xero; Gusto; Bill.com; Stripe; Shopify,https://www.bookkeeper360.com/pricing,2026-06-13,
affiliate-marketing,catalog,refersion,Refersion,refersion.com,Professional,99,17,flat,,,,,,,,,,,,,,Shopify; BigCommerce; WooCommerce; Magento; Stripe; PayPal; Klaviyo; Recharge,https://www.softwareadvice.com/marketing/refersion-profile/,2026-06-14,https://sourceforge.net/software/product/Refersion/
affiliate-marketing,catalog,refersion,Refersion,refersion.com,Business,249,17,flat,,,,,,,,,,,,,,Shopify; BigCommerce; WooCommerce; Magento; Stripe; PayPal; Klaviyo; Recharge,https://www.softwareadvice.com/marketing/refersion-profile/,2026-06-14,https://sourceforge.net/software/product/Refersion/
affiliate-marketing,catalog,refersion,Refersion,refersion.com,Enterprise,,,custom,,,,,,,,,,,,,,Shopify; BigCommerce; WooCommerce; Magento; Stripe; PayPal; Klaviyo; Recharge,https://www.softwareadvice.com/marketing/refersion-profile/,2026-06-14,https://www.getapp.com/sales-software/a/refersion/pricing/
affiliate-marketing,catalog,partnerstack,PartnerStack,partnerstack.com,Launch,1000,,flat,,,,,,,,,,,,,,Salesforce; HubSpot; Stripe; Chargebee; Recurly; Slack; Zapier,https://partnerstack.com/pricing,2026-06-14,
affiliate-marketing,catalog,partnerstack,PartnerStack,partnerstack.com,Growth,1520,,flat,,,,,,,,,,,,,,Salesforce; HubSpot; Stripe; Chargebee; Recurly; Slack; Zapier,https://partnerstack.com/pricing,2026-06-14,
affiliate-marketing,catalog,partnerstack,PartnerStack,partnerstack.com,Enterprise,,,custom,,,,,,,,,,,,,,Salesforce; HubSpot; Stripe; Chargebee; Recurly; Slack; Zapier,https://partnerstack.com/pricing,2026-06-14,
affiliate-marketing,catalog,impact,Impact,impact.com,Starter,30,,flat,,,,,,,,,,,,,,Shopify; BigCommerce; WooCommerce; Adobe Commerce; Squarespace; Salesforce; HubSpot,https://impact.com/plans-b2b/,2026-06-14,
affiliate-marketing,catalog,impact,Impact,impact.com,Essentials,500,,flat,,,,,,,,,,,,,,Shopify; BigCommerce; WooCommerce; Adobe Commerce; Squarespace; Salesforce; HubSpot,https://impact.com/plans-b2b/,2026-06-14,
affiliate-marketing,catalog,impact,Impact,impact.com,Pro,2500,,flat,,,,,,,,,,,,,,Shopify; BigCommerce; WooCommerce; Adobe Commerce; Squarespace; Salesforce; HubSpot,https://impact.com/plans-b2b/,2026-06-14,
affiliate-marketing,catalog,impact,Impact,impact.com,Enterprise,,,custom,,,,,,,,,,,,,,Shopify; BigCommerce; WooCommerce; Adobe Commerce; Squarespace; Salesforce; HubSpot,https://impact.com/plans-b2b/,2026-06-14,
affiliate-marketing,catalog,tapfiliate,Tapfiliate,tapfiliate.com,Launch,74,17,flat,,,,,,,,,,,,,,Shopify; WooCommerce; Stripe; PayPal; Zapier; Squarespace; BigCommerce; Recurly,https://www.tapfiliate.com/pricing/,2026-06-14,https://www.softwareadvice.com/marketing/tapfiliate-profile/
affiliate-marketing,catalog,tapfiliate,Tapfiliate,tapfiliate.com,Scale,149,17,flat,,,,,,,,,,,,,,Shopify; WooCommerce; Stripe; PayPal; Zapier; Squarespace; BigCommerce; Recurly,https://www.tapfiliate.com/pricing/,2026-06-14,https://www.softwareadvice.com/marketing/tapfiliate-profile/
affiliate-marketing,catalog,tapfiliate,Tapfiliate,tapfiliate.com,Enterprise,,,custom,,,,,,,,,,,,,,Shopify; WooCommerce; Stripe; PayPal; Zapier; Squarespace; BigCommerce; Recurly,https://www.tapfiliate.com/pricing/,2026-06-14,
affiliate-marketing,catalog,post-affiliate-pro,Post Affiliate Pro,postaffiliatepro.com,Starter,79,11,flat,,,,,,,,,,,,,,Shopify; WooCommerce; Magento; OpenCart; PrestaShop; Stripe; PayPal; Zapier,https://www.postaffiliatepro.com/pricing/,2026-06-14,https://www.softwareadvice.com/marketing/post-affiliate-pro-profile/
affiliate-marketing,catalog,post-affiliate-pro,Post Affiliate Pro,postaffiliatepro.com,Pro,129,7,flat,,,,,,,,,,,,,,Shopify; WooCommerce; Magento; OpenCart; PrestaShop; Stripe; PayPal; Zapier,https://www.postaffiliatepro.com/pricing/,2026-06-14,https://www.softwareadvice.com/marketing/post-affiliate-pro-profile/
affiliate-marketing,catalog,post-affiliate-pro,Post Affiliate Pro,postaffiliatepro.com,Ultimate,249,7,flat,,,,,,,,,,,,,,Shopify; WooCommerce; Magento; OpenCart; PrestaShop; Stripe; PayPal; Zapier,https://www.postaffiliatepro.com/pricing/,2026-06-14,https://www.softwareadvice.com/marketing/post-affiliate-pro-profile/
affiliate-marketing,catalog,post-affiliate-pro,Post Affiliate Pro,postaffiliatepro.com,Network,599,8,flat,,,,,,,,,,,,,,Shopify; WooCommerce; Magento; OpenCart; PrestaShop; Stripe; PayPal; Zapier,https://www.postaffiliatepro.com/pricing/,2026-06-14,https://www.softwareadvice.com/marketing/post-affiliate-pro-profile/
affiliate-marketing,catalog,everflow,Everflow,everflow.io,Custom,,,custom,,,,,,,,,,,,,,Shopify; Stripe; PayPal; Tipalti; Salesforce; Slack; Zapier,https://www.everflow.io/pricing,2026-06-14,
affiliate-marketing,catalog,affise,Affise,affise.com,Performance Beginner,625,7,flat,,,,,,,,,,,,,,Shopify; Stripe; AppsFlyer; Adjust; Kochava; Salesforce; Slack,https://www.affise.com/pricing/,2026-06-14,
affiliate-marketing,catalog,affise,Affise,affise.com,Performance Core,888,7,flat,,,,,,,,,,,,,,Shopify; Stripe; AppsFlyer; Adjust; Kochava; Salesforce; Slack,https://www.affise.com/pricing/,2026-06-14,
affiliate-marketing,catalog,affise,Affise,affise.com,Performance Expand,1239,7,flat,,,,,,,,,,,,,,Shopify; Stripe; AppsFlyer; Adjust; Kochava; Salesforce; Slack,https://www.affise.com/pricing/,2026-06-14,
affiliate-marketing,catalog,affise,Affise,affise.com,Performance Custom,2499,7,flat,,,,,,,,,,,,,,Shopify; Stripe; AppsFlyer; Adjust; Kochava; Salesforce; Slack,https://www.affise.com/pricing/,2026-06-14,
affiliate-marketing,catalog,awin,AWIN (ShareASale),awin.com,Access,49,,flat,,,,,,,,,,,,,,Shopify; WooCommerce; Magento; BigCommerce; Squarespace; Wix; Salesforce,https://www.awin.com/us/pricing/advertisers,2026-06-14,
affiliate-marketing,catalog,awin,AWIN (ShareASale),awin.com,Accelerate,99,,flat,,,,,,,,,,,,,,Shopify; WooCommerce; Magento; BigCommerce; Squarespace; Wix; Salesforce,https://www.awin.com/us/pricing/advertisers,2026-06-14,
affiliate-marketing,catalog,awin,AWIN (ShareASale),awin.com,Advanced,,,custom,,,,,,,,,,,,,,Shopify; WooCommerce; Magento; BigCommerce; Squarespace; Wix; Salesforce,https://www.awin.com/us/pricing/advertisers,2026-06-14,
affiliate-marketing,catalog,trackdesk,Trackdesk,trackdesk.com,Business,329,,flat,,,,,,,,,,,,,,Shopify; WooCommerce; Stripe; PayPal; Zapier; Make; HubSpot; Pipedrive,https://trackdesk.com/pricing,2026-06-14,
affiliate-marketing,catalog,trackdesk,Trackdesk,trackdesk.com,Enterprise,499,,flat,,,,,,,,,,,,,,Shopify; WooCommerce; Stripe; PayPal; Zapier; Make; HubSpot; Pipedrive,https://trackdesk.com/pricing,2026-06-14,https://www.getapp.com/sales-software/a/trackdesk/pricing/
affiliate-marketing,catalog,trackdesk,Trackdesk,trackdesk.com,Enterprise PLUS,1199,,flat,,,,,,,,,,,,,,Shopify; WooCommerce; Stripe; PayPal; Zapier; Make; HubSpot; Pipedrive,https://trackdesk.com/pricing,2026-06-14,
ai-chatbot-assistants,catalog,chatgpt,ChatGPT,chatgpt.com,Free,0,,flat,,,,,,,,,,,,,,Zapier; Make; Slack; Microsoft Teams; DALL-E; Bing; Sora,https://en.wikipedia.org/wiki/ChatGPT,2026-06-14,
ai-chatbot-assistants,catalog,chatgpt,ChatGPT,chatgpt.com,Plus,20,,flat,,,,,,,,,,,,,,Zapier; Make; Slack; Microsoft Teams; DALL-E; Bing; Sora,https://en.wikipedia.org/wiki/ChatGPT,2026-06-14,https://en.wikipedia.org/wiki/OpenAI
ai-chatbot-assistants,catalog,chatgpt,ChatGPT,chatgpt.com,Pro,200,,flat,,,,,,,,,,,,,,Zapier; Make; Slack; Microsoft Teams; DALL-E; Bing; Sora,https://en.wikipedia.org/wiki/ChatGPT,2026-06-14,https://en.wikipedia.org/wiki/OpenAI
ai-chatbot-assistants,catalog,chatgpt,ChatGPT,chatgpt.com,Team,20,,per_seat,,,,,,,,,,,,,,Zapier; Make; Slack; Microsoft Teams; DALL-E; Bing; Sora,https://en.wikipedia.org/wiki/ChatGPT,2026-06-14,
ai-chatbot-assistants,catalog,chatgpt,ChatGPT,chatgpt.com,Enterprise,,,custom,,,,,,,,,,,,,,Zapier; Make; Slack; Microsoft Teams; DALL-E; Bing; Sora,https://en.wikipedia.org/wiki/ChatGPT,2026-06-14,
ai-chatbot-assistants,catalog,claude,Claude,claude.ai,Free,0,,flat,,,,,,true,true,,,,,,,Slack; Google Workspace; Microsoft 365; Outlook; GitHub,https://claude.com/pricing,2026-06-14,
ai-chatbot-assistants,catalog,claude,Claude,claude.ai,Pro,17,15,flat,,,,,,true,true,,,,,,,Slack; Google Workspace; Microsoft 365; Outlook; GitHub,https://claude.com/pricing,2026-06-14,https://en.wikipedia.org/wiki/Claude_(language_model)
ai-chatbot-assistants,catalog,claude,Claude,claude.ai,Max 5x,100,,flat,,,,,,true,true,,,,,,,Slack; Google Workspace; Microsoft 365; Outlook; GitHub,https://claude.com/pricing,2026-06-14,
ai-chatbot-assistants,catalog,claude,Claude,claude.ai,Max 20x,200,,flat,,,,,,true,true,,,,,,,Slack; Google Workspace; Microsoft 365; Outlook; GitHub,https://claude.com/pricing,2026-06-14,https://en.wikipedia.org/wiki/Claude_(language_model)
ai-chatbot-assistants,catalog,claude,Claude,claude.ai,Team Standard,20,20,per_seat,,,,,,true,true,,,,,,,Slack; Google Workspace; Microsoft 365; Outlook; GitHub,https://claude.com/pricing,2026-06-14,
ai-chatbot-assistants,catalog,claude,Claude,claude.ai,Team Premium,100,20,per_seat,,,,,,true,true,,,,,,,Slack; Google Workspace; Microsoft 365; Outlook; GitHub,https://claude.com/pricing,2026-06-14,
ai-chatbot-assistants,catalog,claude,Claude,claude.ai,Enterprise,,,custom,,,,,,true,true,,,,,,,Slack; Google Workspace; Microsoft 365; Outlook; GitHub,https://claude.com/pricing,2026-06-14,
ai-chatbot-assistants,catalog,google-ai,Google AI (Gemini),gemini.google.com,Free,0,,flat,,,,,,,,,,,,,,Gmail; Google Docs; Google Drive; Google Slides; Google Sheets; YouTube; Google Photos; NotebookLM; Google Flow,https://gemini.google.com/advanced?hl=en-us,2026-06-14,
ai-chatbot-assistants,catalog,google-ai,Google AI (Gemini),gemini.google.com,Google AI Plus,4.99,,flat,,,,,,,,,,,,,,Gmail; Google Docs; Google Drive; Google Slides; Google Sheets; YouTube; Google Photos; NotebookLM; Google Flow,https://9to5google.com/tag/google-one/,2026-06-14,https://techcrunch.com/2026/06/09/google-just-fired-a-warning-shot-in-the-ai-subscription-price-wars/
ai-chatbot-assistants,catalog,google-ai,Google AI (Gemini),gemini.google.com,Google AI Pro,20,,flat,,,,,,,,,,,,,,Gmail; Google Docs; Google Drive; Google Slides; Google Sheets; YouTube; Google Photos; NotebookLM; Google Flow,https://9to5google.com/tag/google-one/,2026-06-14,
ai-chatbot-assistants,catalog,google-ai,Google AI (Gemini),gemini.google.com,Google AI Ultra,100,,flat,,,,,,,,,,,,,,Gmail; Google Docs; Google Drive; Google Slides; Google Sheets; YouTube; Google Photos; NotebookLM; Google Flow,https://9to5google.com/tag/google-one/,2026-06-14,
ai-chatbot-assistants,catalog,perplexity,Perplexity,perplexity.ai,Free,0,,flat,,,,,,,,,,,,,,Slack; API access; Comet browser (early access),https://techcrunch.com/2025/07/02/perplexity-launches-a-200-monthly-subscription-plan/,2026-06-14,
ai-chatbot-assistants,catalog,perplexity,Perplexity,perplexity.ai,Pro,20,,flat,,,,,,,,,,,,,,Slack; API access; Comet browser (early access),https://techcrunch.com/2025/07/02/perplexity-launches-a-200-monthly-subscription-plan/,2026-06-14,
